# step, gen_loss, dis_loss, train_acc
10700, -5.612764E-01,  1.891782E-02,  9.6875E-01
10800, -1.348384E+00,  2.178146E-02,  8.4375E-01
10900, -1.022338E+00,  4.627675E-02,  8.9062E-01
11000, -6.757517E-01,  2.913887E-02,  8.7500E-01
11100, -1.098762E+00,  4.030025E-02,  8.1250E-01
11200, -6.495908E-01,  5.353171E-02,  8.4375E-01
11300, -6.017009E-01,  6.288908E-02,  8.7500E-01
11400, -9.592521E-01,  4.571149E-02,  7.9688E-01
11500, -1.177514E-01,  3.220698E-02,  7.5000E-01
11600, -5.858948E-01,  2.215069E-02,  8.9062E-01
11700, -8.995579E-01,  4.267744E-02,  8.2812E-01
11800, -1.961004E-01, -3.278110E-03,  6.0938E-01
11900, -4.789549E-01,  1.329816E-03,  7.9688E-01
12000, -3.345013E-01,  1.157170E-03,  6.8750E-01
12100, -2.960768E-04, -9.278486E-03,  8.2812E-01
12200,  4.286141E-01,  8.707089E-03,  8.7500E-01
12300,  1.825994E+00,  1.301950E-02,  8.2812E-01
12400,  1.914876E+00,  4.283698E-03,  7.9688E-01
12500,  2.672765E+00, -2.237519E-03,  7.3438E-01
12600,  2.372084E+00,  1.635848E-03,  8.4375E-01
12700,  2.571883E+00, -3.219876E-03,  8.7500E-01
12800,  2.626324E+00,  6.952023E-03,  9.2188E-01
12900,  3.224570E+00, -9.933930E-03,  7.9688E-01
13000,  3.606888E+00, -1.989733E-03,  8.4375E-01
13100,  4.616119E+00,  7.871435E-04,  8.4375E-01
13200,  4.493151E+00,  1.963181E-02,  7.8125E-01
13300,  3.300858E+00, -4.262459E-03,  8.9062E-01
13400,  3.206467E+00,  5.746837E-03,  7.9688E-01
13500,  2.319081E+00,  8.102600E-02,  8.7500E-01
13600, -7.351550E-01,  3.711699E-03,  7.9688E-01
13700, -2.289349E-01, -1.591754E-03,  8.9062E-01
13800, -1.069107E+00, -2.262484E-03,  7.6562E-01
13900, -3.192740E+00,  1.439284E-02,  8.2812E-01
14000, -2.649382E+00, -4.637484E-03,  8.5938E-01
14100, -2.687189E+00,  1.932195E-02,  8.1250E-01
14200, -3.591444E+00, -1.571851E-02,  8.1250E-01
14300, -3.699637E+00,  2.216073E-02,  8.2812E-01
14400, -2.855924E+00,  3.555126E-03,  7.5000E-01
14500, -3.444137E+00,  1.759651E-02,  7.8125E-01
14600, -2.674333E+00,  2.625043E-03,  8.9062E-01
14700, -3.207141E+00,  9.437209E-03,  9.0625E-01
14800, -3.006978E+00, -3.807991E-03,  9.2188E-01
14900, -2.587865E+00, -1.224720E-03,  8.5938E-01
15000, -3.069117E+00,  1.347977E-02,  8.7500E-01
15100, -3.977498E+00,  1.260813E-02,  8.9062E-01
